x_by_lambda_0 z_by_lambda_0 g1_1 g1_2 g1_3 g2_1 g2_2 g2_3
-5.000000e+00 -5.000000e+00 6.546779e-03 1.147043e-03 1.284386e-04 6.546779e-03 1.147043e-03 1.284386e-04
-5.000000e+00 -4.830508e+00 7.039168e-03 1.180801e-03 1.146178e-04 7.039168e-03 1.180801e-03 1.146178e-04
-5.000000e+00 -4.661017e+00 3.803180e-03 5.635609e-04 3.004594e-05 3.803180e-03 5.635609e-04 3.004594e-05
-5.000000e+00 -4.491525e+00 -1.498573e-03 -4.214857e-04 -8.894093e-05 -1.498573e-03 -4.214857e-04 -8.894093e-05
-5.000000e+00 -4.322034e+00 -6.243921e-03 -1.297097e-03 -1.833175e-04 -6.243921e-03 -1.297097e-03 -1.833175e-04
-5.000000e+00 -4.152542e+00 -8.194312e-03 -1.627716e-03 -1.994600e-04 -8.194312e-03 -1.627716e-03 -1.994600e-04
-5.000000e+00 -3.983051e+00 -6.501938e-03 -1.222293e-03 -1.154855e-04 -6.501938e-03 -1.222293e-03 -1.154855e-04
-5.000000e+00 -3.813559e+00 -1.954902e-03 -2.129369e-04 4.636652e-05 -1.954902e-03 -2.129369e-04 4.636652e-05
-5.000000e+00 -3.644068e+00 3.529258e-03 1.012524e-03 2.264309e-04 3.529258e-03 1.012524e-03 2.264309e-04
-5.000000e+00 -3.474576e+00 7.810282e-03 1.977967e-03 3.498712e-04 7.810282e-03 1.977967e-03 3.498712e-04
-5.000000e+00 -3.305085e+00 9.376256e-03 2.304821e-03 3.548364e-04 9.376256e-03 2.304821e-03 3.548364e-04
-5.000000e+00 -3.135593e+00 7.806117e-03 1.841126e-03 2.155072e-04 7.806117e-03 1.841126e-03 2.155072e-04
-5.000000e+00 -2.966102e+00 3.746915e-03 6.947448e-04 -4.778768e-05 3.746915e-03 6.947448e-04 -4.778768e-05
-5.000000e+00 -2.796610e+00 -1.475687e-03 -8.244289e-04 -3.735595e-04 -1.475687e-03 -8.244289e-04 -3.735595e-04
-5.000000e+00 -2.627119e+00 -6.386613e-03 -2.316587e-03 -6.759540e-04 -6.386613e-03 -2.316587e-03 -6.759540e-04
-5.000000e+00 -2.457627e+00 -9.814362e-03 -3.411277e-03 -8.667600e-04 -9.814362e-03 -3.411277e-03 -8.667600e-04
-5.000000e+00 -2.288136e+00 -1.114092e-02 -3.855726e-03 -8.755923e-04 -1.114092e-02 -3.855726e-03 -8.755923e-04
-5.000000e+00 -2.118644e+00 -1.032877e-02 -3.553691e-03 -6.630974e-04 -1.032877e-02 -3.553691e-03 -6.630974e-04
-5.000000e+00 -1.949153e+00 -7.783967e-03 -2.556394e-03 -2.250309e-04 -7.783967e-03 -2.556394e-03 -2.250309e-04
-5.000000e+00 -1.779661e+00 -4.145826e-03 -1.020552e-03 4.120705e-04 -4.145826e-03 -1.020552e-03 4.120705e-04
-5.000000e+00 -1.610169e+00 -8.470138e-05 8.468730e-04 1.201022e-03 -8.470138e-05 8.468730e-04 1.201022e-03
-5.000000e+00 -1.440678e+00 3.842318e-03 2.840220e-03 2.086705e-03 3.842318e-03 2.840220e-03 2.086705e-03
-5.000000e+00 -1.271186e+00 7.262521e-03 4.792589e-03 3.018606e-03 7.262521e-03 4.792589e-03 3.018606e-03
-5.000000e+00 -1.101695e+00 9.995547e-03 6.595830e-03 3.961497e-03 9.995547e-03 6.595830e-03 3.961497e-03
-5.000000e+00 -9.322034e-01 1.202037e-02 8.204978e-03 4.903866e-03 1.202037e-02 8.204978e-03 4.903866e-03
-5.000000e+00 -7.627119e-01 1.342431e-02 9.631744e-03 5.864745e-03 1.342431e-02 9.631744e-03 5.864745e-03
-5.000000e+00 -5.932203e-01 1.435137e-02 1.093199e-02 6.900246e-03 1.435137e-02 1.093199e-02 6.900246e-03
-5.000000e+00 -4.237288e-01 1.495957e-02 1.219095e-02 8.111158e-03 1.495957e-02 1.219095e-02 8.111158e-03
-5.000000e+00 -2.542373e-01 1.539022e-02 1.350778e-02 9.652253e-03 1.539022e-02 1.350778e-02 9.652253e-03
-5.000000e+00 -8.474576e-02 1.574774e-02 1.497921e-02 1.174203e-02 1.574774e-02 1.497921e-02 1.174203e-02
-5.000000e+00 8.474576e-02 1.608679e-02 1.667993e-02 1.466801e-02 -1.574774e-02 -1.497921e-02 -1.174203e-02
-5.000000e+00 2.542373e-01 1.640341e-02 1.863671e-02 1.877671e-02 -1.539022e-02 -1.350778e-02 -9.652253e-03
-5.000000e+00 4.237288e-01 1.662864e-02 2.079336e-02 2.442900e-02 -1.495957e-02 -1.219095e-02 -8.111158e-03
-5.000000e+00 5.932203e-01 1.662504e-02 2.296621e-02 3.189249e-02 -1.435137e-02 -1.093199e-02 -6.900246e-03
-5.000000e+00 7.627119e-01 1.618969e-02 2.479530e-02 4.113808e-02 -1.342431e-02 -9.631744e-03 -5.864745e-03
