z_by_lambda_0 rho_by_lambda_0 rel_err_db_tm rel_err_db_te abs_ref_tm abs_ref_te
0.000000e+00 1.000000e-01 -1.230411e+02 -1.102633e+02 7.521781e-04 6.928386e-04
0.000000e+00 1.142802e-01 -1.238869e+02 -1.110971e+02 7.499765e-04 6.930133e-04
0.000000e+00 1.305997e-01 -1.250376e+02 -1.121931e+02 7.471168e-04 6.932392e-04
0.000000e+00 1.492496e-01 -1.266080e+02 -1.136043e+02 7.434081e-04 6.935306e-04
0.000000e+00 1.705627e-01 -1.287524e+02 -1.152937e+02 7.386088e-04 6.939050e-04
0.000000e+00 1.949194e-01 -1.315003e+02 -1.168636e+02 7.324149e-04 6.943834e-04
0.000000e+00 2.227543e-01 -1.337730e+02 -1.173286e+02 7.244495e-04 6.949908e-04
0.000000e+00 2.545641e-01 -1.330719e+02 -1.163827e+02 7.142518e-04 6.957549e-04
0.000000e+00 2.909163e-01 -1.310198e+02 -1.151583e+02 7.012714e-04 6.967048e-04
0.000000e+00 3.324598e-01 -1.299207e+02 -1.145867e+02 6.848695e-04 6.978668e-04
0.000000e+00 3.799357e-01 -1.304791e+02 -1.150312e+02 6.643342e-04 6.992574e-04
0.000000e+00 4.341913e-01 -1.333247e+02 -1.163690e+02 6.389179e-04 7.008714e-04
0.000000e+00 4.961948e-01 -1.381619e+02 -1.174183e+02 6.079041e-04 7.026638e-04
0.000000e+00 5.670524e-01 -1.360091e+02 -1.171005e+02 5.707097e-04 7.045238e-04
0.000000e+00 6.480286e-01 -1.324256e+02 -1.162516e+02 5.270239e-04 7.062422e-04
0.000000e+00 7.405685e-01 -1.289572e+02 -1.143868e+02 4.769727e-04 7.074748e-04
0.000000e+00 8.463232e-01 -1.253184e+02 -1.119071e+02 4.212896e-04 7.077111e-04
0.000000e+00 9.671799e-01 -1.231031e+02 -1.102831e+02 3.614720e-04 7.062621e-04
0.000000e+00 1.105295e+00 -1.228506e+02 -1.104569e+02 2.999245e-04 7.022883e-04
0.000000e+00 1.263134e+00 -1.273340e+02 -1.138428e+02 2.401603e-04 6.948825e-04
0.000000e+00 1.443512e+00 -1.239760e+02 -1.121651e+02 1.872325e-04 6.832129e-04
