z_by_lambda_0 n_images_tm n_images_te
0.000000 11 11
0.362319 10 8
0.724638 9 9
1.086957 9 8
1.449275 8 8
1.811594 8 7
2.173913 8 7
2.536232 8 7
2.898551 8 7
3.260870 8 7
3.623188 8 7
3.985507 8 7
4.347826 8 7
4.710145 8 7
5.072464 8 7
5.434783 8 7
5.797101 8 7
6.159420 7 7
6.521739 7 7
6.884058 7 7
7.246377 7 7
7.608696 7 7
7.971014 7 7
8.333333 7 7
8.695652 7 7
9.057971 7 7
9.420290 7 7
9.782609 7 7
10.144928 7 7
10.507246 7 7
10.869565 7 7
11.231884 7 7
11.594203 8 8
11.956522 8 8
12.318841 8 8
12.681159 8 8
13.043478 8 8
13.405797 8 8
13.768116 8 8
14.130435 8 8
14.492754 8 8
14.855072 8 8
15.217391 8 8
15.579710 8 8
15.942029 8 8
16.304348 8 8
16.666667 8 8
17.028986 8 8
17.391304 8 8
17.753623 8 8
18.115942 8 8
18.478261 8 8
18.840580 8 8
19.202899 8 8
19.565217 8 8
19.927536 8 8
20.289855 8 8
20.652174 8 8
21.014493 8 8
21.376812 8 8
21.739130 8 8
22.101449 8 8
22.463768 8 8
22.826087 8 8
23.188406 8 8
23.550725 8 8
23.913043 8 8
24.275362 8 8
24.637681 8 8
25.000000 8 8
