x_by_lambda_0 z_by_lambda_0 G_EJ_xx G_HJ_xx G_EJ_xy G_HJ_xy G_EJ_xz G_HJ_xz G_EJ_yx G_HJ_yx G_EJ_yy G_HJ_yy G_EJ_yz G_HJ_yz G_EJ_zx G_HJ_zx G_EJ_zy G_HJ_zy G_EJ_zz G_HJ_zz 
-5 -3 -0.00109264 -4.05415e-22 -1.48874e-19 -8.57512e-06 0.00217179 -1.3477e-21 -1.48874e-19 5.26466e-06 -0.00230829 4.05415e-22 -2.65967e-19 -1.10048e-05 0.000525754 6.39953e-22 -6.43863e-20 5.22561e-06 -0.00144716 0 
-5 -2.83051 -0.0013724 -1.48797e-21 -4.65913e-19 -2.00404e-05 0.00561103 -3.83644e-21 -4.65913e-19 7.89016e-06 -0.00517688 1.48797e-21 -6.87153e-19 -3.13269e-05 0.000969714 1.63864e-21 -1.18756e-19 1.33805e-05 -0.00370586 0 
-5 -2.66102 0.00108502 3.34813e-22 1.3159e-19 7.93838e-06 -0.0019826 1.20919e-21 1.3159e-19 -5.20442e-06 0.00215953 -3.34813e-22 2.42799e-19 9.87376e-06 -0.000518117 -5.941e-22 6.3451e-20 -4.85119e-06 0.00133264 0 
-5 -2.49153 0.00142908 1.66753e-21 5.1791e-19 2.18233e-05 -0.0062208 4.2525e-21 5.1791e-19 -8.20693e-06 0.00565814 -1.66753e-21 7.61828e-19 3.47243e-05 -0.00100864 -1.79451e-21 1.23523e-19 -1.46533e-05 0.00413998 0 
-5 -2.32203 -0.00106644 -2.35894e-22 -1.05619e-19 -6.99311e-06 0.00169249 -1.00066e-21 -1.05619e-19 5.06689e-06 -0.00192889 2.35894e-22 -2.07271e-19 -8.17102e-06 0.000498611 5.21179e-22 -6.10623e-20 4.25575e-06 -0.00114935 0 
-5 -2.15254 -0.00149624 -1.85795e-21 -5.7307e-19 -2.37331e-05 0.00686961 -4.69419e-21 -5.7307e-19 8.56182e-06 -0.00617571 1.85795e-21 -8.41285e-19 -3.8331e-05 0.00104896 1.96146e-21 -1.28461e-19 1.60166e-05 -0.00460486 0 
-5 -1.98305 0.00103926 9.99881e-23 6.9124e-20 5.69679e-06 -0.00128494 7.09401e-22 6.9124e-20 -4.88033e-06 0.0016037 -9.99881e-23 1.5736e-19 5.79269e-06 -0.000472828 -4.16728e-22 5.79047e-20 -3.40284e-06 0.000881771 0 
-5 -1.81356 0.00157418 2.05348e-21 6.29598e-19 2.57287e-05 -0.00754524 5.15027e-21 6.29598e-19 -8.96072e-06 0.00671524 -2.05348e-21 9.24025e-19 4.20551e-05 -0.00109168 -2.13344e-21 1.33692e-19 -1.74208e-05 0.00508645 0 
-5 -1.64407 -0.00100497 7.75632e-23 -2.1744e-20 -4.02886e-06 0.000748596 -3.29992e-22 -2.1744e-20 4.66221e-06 -0.00118252 -7.75632e-23 -9.16765e-20 -2.69459e-06 0.000444618 2.81958e-22 -5.445e-20 2.30236e-06 -0.000526301 0 
-5 -1.47458 -0.00166561 -2.24725e-21 -6.86724e-19 -2.77857e-05 0.00823673 -5.61378e-21 -6.86724e-19 9.43558e-06 -0.00727314 2.24725e-21 -1.00871e-18 -4.584e-05 0.0011432 2.31033e-21 -1.40001e-19 1.88653e-05 -0.0055788 0 
