# src groups:          1
# obs groups:          3600
# TOPs:                3600
# plane waves:         2888
# multipole order: L = 38
x_by_lambda_0 y_by_lambda_0 rel_err_db
1.000000e+01 1.000000e+01 -225.931464
1.000000e+01 1.124210e+01 -223.373075
1.000000e+01 1.263848e+01 -220.512876
1.000000e+01 1.420831e+01 -224.419294
1.000000e+01 1.597312e+01 -220.634375
1.000000e+01 1.795714e+01 -224.638133
1.000000e+01 2.018760e+01 -217.543643
1.000000e+01 2.269511e+01 -221.767238
1.000000e+01 2.551407e+01 -217.761974
1.000000e+01 2.868317e+01 -215.854828
1.000000e+01 3.224591e+01 -213.078313
1.000000e+01 3.625117e+01 -208.348168
1.000000e+01 4.075393e+01 -205.764925
1.000000e+01 4.581598e+01 -203.374582
1.000000e+01 5.150678e+01 -199.313702
1.000000e+01 5.790444e+01 -200.102564
1.000000e+01 6.509675e+01 -205.533367
1.000000e+01 7.318242e+01 -206.075072
1.000000e+01 8.227241e+01 -207.272837
1.000000e+01 9.249147e+01 -213.045864
1.000000e+01 1.039798e+02 -218.922764
1.000000e+01 1.168952e+02 -212.090351
1.000000e+01 1.314147e+02 -211.310899
1.000000e+01 1.477378e+02 -216.456313
1.000000e+01 1.660883e+02 -236.333008
1.000000e+01 1.867181e+02 -218.537530
1.000000e+01 2.099104e+02 -216.609912
1.000000e+01 2.359833e+02 -213.802772
1.000000e+01 2.652948e+02 -212.541515
1.000000e+01 2.982471e+02 -213.128278
1.000000e+01 3.352924e+02 -213.602162
1.000000e+01 3.769391e+02 -215.392622
1.000000e+01 4.237587e+02 -218.433386
1.000000e+01 4.763938e+02 -219.948718
1.000000e+01 5.355667e+02 -231.340976
1.000000e+01 6.020894e+02 -221.897895
1.000000e+01 6.768750e+02 -223.667965
1.000000e+01 7.609497e+02 -225.966441
1.000000e+01 8.554673e+02 -222.132577
1.000000e+01 9.617249e+02 -215.553903
1.000000e+01 1.081181e+03 -215.528646
1.000000e+01 1.215474e+03 -217.704079
1.000000e+01 1.366448e+03 -217.659431
1.000000e+01 1.536175e+03 -213.970324
1.000000e+01 1.726983e+03 -216.517261
1.000000e+01 1.941492e+03 -214.998499
1.000000e+01 2.182645e+03 -214.181372
1.000000e+01 2.453751e+03 -213.986589
1.000000e+01 2.758532e+03 -214.895876
1.000000e+01 3.101169e+03 -213.940140
1.000000e+01 3.486365e+03 -215.116532
1.000000e+01 3.919407e+03 -215.113611
1.000000e+01 4.406236e+03 -213.839206
1.000000e+01 4.953535e+03 -214.849108
1.000000e+01 5.568814e+03 -213.796252
1.000000e+01 6.260517e+03 -216.891979
1.000000e+01 7.038136e+03 -210.721896
1.000000e+01 7.912343e+03 -211.555222
1.000000e+01 8.895135e+03 -211.455724
1.000000e+01 1.000000e+04 -213.653622

1.124210e+01 1.000000e+01 -223.338550
1.124210e+01 1.124210e+01 -218.970855
1.124210e+01 1.263848e+01 -220.754603
1.124210e+01 1.420831e+01 -223.278599
1.124210e+01 1.597312e+01 -219.547176
1.124210e+01 1.795714e+01 -232.544919
1.124210e+01 2.018760e+01 -218.352062
1.124210e+01 2.269511e+01 -221.519719
1.124210e+01 2.551407e+01 -217.068167
1.124210e+01 2.868317e+01 -214.924344
1.124210e+01 3.224591e+01 -213.927179
1.124210e+01 3.625117e+01 -207.865070
1.124210e+01 4.075393e+01 -205.839180
1.124210e+01 4.581598e+01 -203.102880
1.124210e+01 5.150678e+01 -199.288607
1.124210e+01 5.790444e+01 -200.208318
1.124210e+01 6.509675e+01 -205.682188
1.124210e+01 7.318242e+01 -206.117249
1.124210e+01 8.227241e+01 -207.300681
1.124210e+01 9.249147e+01 -213.384540
1.124210e+01 1.039798e+02 -217.735819
1.124210e+01 1.168952e+02 -212.049157
1.124210e+01 1.314147e+02 -211.425792
1.124210e+01 1.477378e+02 -216.523792
1.124210e+01 1.660883e+02 -232.978131
1.124210e+01 1.867181e+02 -218.367652
1.124210e+01 2.099104e+02 -216.455920
1.124210e+01 2.359833e+02 -213.721207
1.124210e+01 2.652948e+02 -212.602839
1.124210e+01 2.982471e+02 -213.274683
1.124210e+01 3.352924e+02 -213.906118
1.124210e+01 3.769391e+02 -215.614706
1.124210e+01 4.237587e+02 -218.995828
1.124210e+01 4.763938e+02 -220.902496
1.124210e+01 5.355667e+02 -229.648461
1.124210e+01 6.020894e+02 -221.630571
1.124210e+01 6.768750e+02 -225.015678
1.124210e+01 7.609497e+02 -224.816183
1.124210e+01 8.554673e+02 -220.961964
1.124210e+01 9.617249e+02 -215.815752
1.124210e+01 1.081181e+03 -215.394845
1.124210e+01 1.215474e+03 -217.252309
1.124210e+01 1.366448e+03 -217.354156
1.124210e+01 1.536175e+03 -214.032387
1.124210e+01 1.726983e+03 -215.691952
1.124210e+01 1.941492e+03 -215.151209
1.124210e+01 2.182645e+03 -213.089483
1.124210e+01 2.453751e+03 -213.779775
1.124210e+01 2.758532e+03 -214.720772
1.124210e+01 3.101169e+03 -213.664241
1.124210e+01 3.486365e+03 -215.229288
1.124210e+01 3.919407e+03 -213.686040
1.124210e+01 4.406236e+03 -213.806461
1.124210e+01 4.953535e+03 -214.334833
1.124210e+01 5.568814e+03 -214.435690
1.124210e+01 6.260517e+03 -214.208452
1.124210e+01 7.038136e+03 -211.754397
1.124210e+01 7.912343e+03 -212.896587
1.124210e+01 8.895135e+03 -210.731264
1.124210e+01 1.000000e+04 -214.918756

1.263848e+01 1.000000e+01 -220.255941
1.263848e+01 1.124210e+01 -220.773112
1.263848e+01 1.263848e+01 -234.320518
1.263848e+01 1.420831e+01 -218.935968
1.263848e+01 1.597312e+01 -219.992620
1.263848e+01 1.795714e+01 -220.492464
1.263848e+01 2.018760e+01 -223.795840
1.263848e+01 2.269511e+01 -218.553504
1.263848e+01 2.551407e+01 -216.516763
1.263848e+01 2.868317e+01 -213.680095
1.263848e+01 3.224591e+01 -214.089945
1.263848e+01 3.625117e+01 -207.560843
1.263848e+01 4.075393e+01 -206.283248
1.263848e+01 4.581598e+01 -202.853883
1.263848e+01 5.150678e+01 -199.117984
1.263848e+01 5.790444e+01 -200.346507
1.263848e+01 6.509675e+01 -206.139420
1.263848e+01 7.318242e+01 -206.358819
1.263848e+01 8.227241e+01 -207.285179
1.263848e+01 9.249147e+01 -214.148411
1.263848e+01 1.039798e+02 -216.510052
1.263848e+01 1.168952e+02 -212.073111
1.263848e+01 1.314147e+02 -211.698972
1.263848e+01 1.477378e+02 -215.973749
1.263848e+01 1.660883e+02 -232.572617
1.263848e+01 1.867181e+02 -218.734232
1.263848e+01 2.099104e+02 -216.300054
1.263848e+01 2.359833e+02 -213.597517
1.263848e+01 2.652948e+02 -212.563120
