x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
0.000000e+00 -3.000000e+00 -7.148287e+01 -2.101518e-05 -7.144862e+01 -3.277809e-05
0.000000e+00 -2.855072e+00 -7.080468e+01 -1.049562e-04 -7.076780e+01 -9.880326e-05
0.000000e+00 -2.710145e+00 -7.011799e+01 2.596312e-05 -7.007821e+01 4.044223e-05
0.000000e+00 -2.565217e+00 -6.942221e+01 1.229795e-04 -6.937928e+01 1.149125e-04
0.000000e+00 -2.420290e+00 -6.871673e+01 -3.207251e-05 -6.867034e+01 -5.002374e-05
0.000000e+00 -2.275362e+00 -6.800086e+01 -1.447955e-04 -6.795067e+01 -1.341386e-04
0.000000e+00 -2.130435e+00 -6.727383e+01 3.964386e-05 -6.721946e+01 6.208468e-05
0.000000e+00 -1.985507e+00 -6.653480e+01 1.714484e-04 -6.647579e+01 1.572421e-04
0.000000e+00 -1.840580e+00 -6.578279e+01 -4.906712e-05 -6.571866e+01 -7.739165e-05
0.000000e+00 -1.695652e+00 -6.501674e+01 -2.043731e-04 -6.494690e+01 -1.852297e-04
0.000000e+00 -1.550725e+00 -6.423541e+01 6.085109e-05 -6.415922e+01 9.701077e-05
0.000000e+00 -1.405797e+00 -6.343742e+01 2.455934e-04 -6.335411e+01 2.194610e-04
0.000000e+00 -1.260870e+00 -6.262116e+01 -7.566055e-05 -6.252986e+01 -1.224592e-04
0.000000e+00 -1.115942e+00 -6.178477e+01 -2.980570e-04 -6.168447e+01 -2.618205e-04
0.000000e+00 -9.710145e-01 -6.092613e+01 9.435555e-05 -6.081562e+01 1.559559e-04
0.000000e+00 -8.260870e-01 -6.004268e+01 3.662277e-04 -5.992058e+01 3.150062e-04
0.000000e+00 -6.811594e-01 -5.913146e+01 -1.180053e-04 -5.899609e+01 -2.008571e-04
0.000000e+00 -5.362319e-01 -5.818887e+01 -4.572021e-04 -5.803826e+01 -3.830482e-04
0.000000e+00 -3.913043e-01 -5.721056e+01 1.477621e-04 -5.704236e+01 2.624536e-04
