x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
0.000000e+00 -1.000000e+00 -3.338327e+03 1.662086e-166 -3.337994e+03 1.631166e-166
0.000000e+00 -8.840580e-01 -2.961060e+03 1.415281e-147 -2.960724e+03 1.391880e-147
0.000000e+00 -7.681159e-01 -2.583792e+03 1.177429e-128 -2.583454e+03 1.159791e-128
0.000000e+00 -6.521739e-01 -2.206525e+03 9.622086e-110 -2.206184e+03 9.489653e-110
0.000000e+00 -5.362319e-01 -1.829258e+03 7.752152e-91 -1.828915e+03 7.653080e-91
0.000000e+00 -4.202899e-01 -1.451990e+03 6.173116e-72 -1.451645e+03 6.099261e-72
0.000000e+00 -3.043478e-01 -1.074723e+03 4.867737e-53 -1.074375e+03 4.812865e-53
0.000000e+00 -1.884058e-01 -6.974557e+02 3.806275e-34 -6.971052e+02 3.765640e-34
0.000000e+00 -7.246377e-02 -3.201883e+02 2.954559e-15 -3.198354e+02 2.924562e-15
0.000000e+00 4.347826e-02 -5.651302e+01 -2.403020e-03 -5.658255e+01 -2.392982e-03
0.000000e+00 1.594203e-01 -4.672088e+01 -1.181700e-03 -4.674738e+01 -1.183340e-03
0.000000e+00 2.753623e-01 -4.497398e+01 3.621059e-04 -4.498525e+01 3.532996e-04
0.000000e+00 3.913043e-01 -4.722914e+01 1.479610e-03 -4.722016e+01 1.469759e-03
0.000000e+00 5.072464e-01 -4.871425e+01 1.731772e-03 -4.870112e+01 1.725639e-03
0.000000e+00 6.231884e-01 -4.283095e+01 1.131800e-03 -4.283792e+01 1.131213e-03
0.000000e+00 7.391304e-01 -3.865895e+01 7.588867e-05 -3.866285e+01 7.975498e-05
0.000000e+00 8.550725e-01 -3.456743e+01 -8.839210e-04 -3.456641e+01 -8.784131e-04
0.000000e+00 9.710145e-01 -2.088325e+01 -1.308425e-03 -2.088281e+01 -1.304183e-03
0.000000e+00 1.086957e+00 -3.067051e+01 -1.058529e-03 -3.066953e+01 -1.057260e-03
0.000000e+00 1.202899e+00 -3.849184e+01 -3.260132e-04 -3.848969e+01 -3.277209e-04
0.000000e+00 1.318841e+00 -4.285537e+01 4.903468e-04 -4.285217e+01 4.870216e-04
0.000000e+00 1.434783e+00 -4.596518e+01 9.918378e-04 -4.596104e+01 9.887459e-04
0.000000e+00 1.550725e+00 -4.841450e+01 9.671546e-04 -4.840951e+01 9.657104e-04
0.000000e+00 1.666667e+00 -5.045204e+01 4.750732e-04 -5.044629e+01 4.756854e-04
0.000000e+00 1.782609e+00 -5.220635e+01 -2.070414e-04 -5.219990e+01 -2.049886e-04
0.000000e+00 1.898551e+00 -5.375278e+01 -7.336456e-04 -5.374569e+01 -7.313452e-04
0.000000e+00 2.014493e+00 -5.513943e+01 -8.616434e-04 -5.513176e+01 -8.602246e-04
0.000000e+00 2.130435e+00 -5.639901e+01 -5.589966e-04 -5.639080e+01 -5.590096e-04
0.000000e+00 2.246377e+00 -5.755479e+01 -4.383541e-06 -5.754609e+01 -5.625754e-06
0.000000e+00 2.362319e+00 -5.862397e+01 5.140950e-04 -5.861482e+01 5.123800e-04
0.000000e+00 2.478261e+00 -5.961966e+01 7.457282e-04 -5.961009e+01 7.444221e-04
0.000000e+00 2.594203e+00 -6.055209e+01 5.960903e-04 -6.054212e+01 5.957683e-04
0.000000e+00 2.710145e+00 -6.142939e+01 1.626956e-04 -6.141907e+01 1.633936e-04
0.000000e+00 2.826087e+00 -6.225818e+01 -3.244938e-04 -6.224752e+01 -3.232309e-04
0.000000e+00 2.942029e+00 -6.304389e+01 -6.231357e-04 -6.303292e+01 -6.219804e-04
0.000000e+00 3.057971e+00 -6.379106e+01 -5.974336e-04 -6.377979e+01 -5.969310e-04
0.000000e+00 3.173913e+00 -6.450351e+01 -2.783259e-04 -6.449198e+01 -2.786484e-04
0.000000e+00 3.289855e+00 -6.518451e+01 1.609819e-04 -6.517272e+01 1.600768e-04
0.000000e+00 3.405797e+00 -6.583686e+01 4.975882e-04 -6.582483e+01 4.965980e-04
0.000000e+00 3.521739e+00 -6.646299e+01 5.708191e-04 -6.645074e+01 5.702321e-04
0.000000e+00 3.637681e+00 -6.706502e+01 3.578779e-04 -6.705256e+01 3.579396e-04
0.000000e+00 3.753623e+00 -6.764481e+01 -2.190066e-05 -6.763216e+01 -2.128194e-05
0.000000e+00 3.869565e+00 -6.820402e+01 -3.727316e-04 -6.819118e+01 -3.719081e-04
