t y_true_re y_true_im y_rec_re y_rec_im rel_err_db
0.000000e+00 1.300921e+00 2.753711e+00 1.300921e+00 2.753711e+00 -228.034515
1.000000e-03 -5.314924e+00 8.494004e-01 -5.314924e+00 8.494004e-01 -236.480297
2.000000e-03 -9.797753e+00 -3.971230e+00 -9.797753e+00 -3.971230e+00 -246.640617
3.000000e-03 -1.112621e+01 -1.014746e+01 -1.112621e+01 -1.014746e+01 -255.158463
4.000000e-03 -9.256606e+00 -1.591185e+01 -9.256606e+00 -1.591185e+01 -264.260094
5.000000e-03 -5.034262e+00 -1.984038e+01 -5.034262e+00 -1.984038e+01 -275.828551
6.000000e-03 1.734780e-01 -2.124427e+01 1.734780e-01 -2.124427e+01 -280.911345
7.000000e-03 4.980195e+00 -2.028154e+01 4.980195e+00 -2.028154e+01 -275.157916
8.000000e-03 8.436603e+00 -1.776957e+01 8.436603e+00 -1.776957e+01 -267.936696
9.000000e-03 1.028247e+01 -1.478595e+01 1.028247e+01 -1.478595e+01 -262.582333
1.000000e-02 1.091706e+01 -1.221672e+01 1.091706e+01 -1.221672e+01 -258.863477
1.100000e-02 1.111666e+01 -1.042365e+01 1.111666e+01 -1.042365e+01 -256.487662
1.200000e-02 1.161994e+01 -9.151827e+00 1.161994e+01 -9.151827e+00 -255.439326
1.300000e-02 1.274861e+01 -7.705815e+00 1.274861e+01 -7.705815e+00 -255.473861
1.400000e-02 1.421428e+01 -5.320204e+00 1.421428e+01 -5.320204e+00 -256.307761
1.500000e-02 1.519143e+01 -1.576699e+00 1.519143e+01 -1.576699e+00 -257.457737
1.600000e-02 1.463482e+01 3.299262e+00 1.463482e+01 3.299262e+00 -257.900919
1.700000e-02 1.172655e+01 8.386666e+00 1.172655e+01 8.386666e+00 -256.554946
1.800000e-02 6.285663e+00 1.229733e+01 6.285663e+00 1.229733e+01 -254.100831
1.900000e-02 -1.018800e+00 1.361685e+01 -1.018800e+00 1.361685e+01 -251.855955
2.000000e-02 -8.744285e+00 1.141000e+01 -8.744285e+00 1.141000e+01 -250.579288
2.100000e-02 -1.503346e+01 5.613334e+00 -1.503346e+01 5.613334e+00 -250.222141
2.200000e-02 -1.814788e+01 -2.828975e+00 -1.814788e+01 -2.828975e+00 -250.495324
2.300000e-02 -1.700530e+01 -1.214587e+01 -1.700530e+01 -1.214587e+01 -251.097877
2.400000e-02 -1.154337e+01 -2.019064e+01 -1.154337e+01 -2.019064e+01 -251.796495
2.500000e-02 -2.787159e+00 -2.502525e+01 -2.787159e+00 -2.502525e+01 -252.576020
2.600000e-02 7.405736e+00 -2.545488e+01 7.405736e+00 -2.545488e+01 -253.345985
2.700000e-02 1.684400e+01 -2.134622e+01 1.684400e+01 -2.134622e+01 -254.100075
2.800000e-02 2.358866e+01 -1.363361e+01 2.358866e+01 -1.363361e+01 -254.941150
2.900000e-02 2.644484e+01 -4.019668e+00 2.644484e+01 -4.019668e+00 -255.784658
3.000000e-02 2.521307e+01 5.526103e+00 2.521307e+01 5.526103e+00 -256.701522
3.100000e-02 2.063638e+01 1.330647e+01 2.063638e+01 1.330647e+01 -257.660255
3.200000e-02 1.408012e+01 1.830488e+01 1.408012e+01 1.830488e+01 -258.848556
3.300000e-02 7.065736e+00 2.034650e+01 7.065736e+00 2.034650e+01 -260.253876
3.400000e-02 8.194936e-01 1.998327e+01 8.194936e-01 1.998327e+01 -261.720538
3.500000e-02 -4.018607e+00 1.816798e+01 -4.018607e+00 1.816798e+01 -263.073940
3.600000e-02 -7.445322e+00 1.584855e+01 -7.445322e+00 1.584855e+01 -263.658915
3.700000e-02 -9.912149e+00 1.363176e+01 -9.912149e+00 1.363176e+01 -262.741533
3.800000e-02 -1.200014e+01 1.163046e+01 -1.200014e+01 1.163046e+01 -261.121503
3.900000e-02 -1.408649e+01 9.534963e+00 -1.408649e+01 9.534963e+00 -259.526348
4.000000e-02 -1.613313e+01 6.864777e+00 -1.613313e+01 6.864777e+00 -258.378669
4.100000e-02 -1.767652e+01 3.291470e+00 -1.767652e+01 3.291470e+00 -257.443539
4.200000e-02 -1.801891e+01 -1.100092e+00 -1.801891e+01 -1.100092e+00 -256.552549
4.300000e-02 -1.654547e+01 -5.719271e+00 -1.654547e+01 -5.719271e+00 -255.607452
4.400000e-02 -1.304371e+01 -9.588910e+00 -1.304371e+01 -9.588910e+00 -254.398343
4.500000e-02 -7.899939e+00 -1.164010e+01 -7.899939e+00 -1.164010e+01 -252.775116
4.600000e-02 -2.091021e+00 -1.108073e+01 -2.091021e+00 -1.108073e+01 -250.671968
4.700000e-02 3.037728e+00 -7.707119e+00 3.037728e+00 -7.707119e+00 -247.957035
4.800000e-02 6.141695e+00 -2.045776e+00 6.141695e+00 -2.045776e+00 -245.819144
4.900000e-02 6.274005e+00 4.730890e+00 6.274005e+00 4.730890e+00 -247.624992
5.000000e-02 3.180305e+00 1.109448e+01 3.180305e+00 1.109448e+01 -251.265645
5.100000e-02 -2.605296e+00 1.556719e+01 -2.605296e+00 1.556719e+01 -254.351814
5.200000e-02 -9.894177e+00 1.711834e+01 -9.894177e+00 1.711834e+01 -256.682764
5.300000e-02 -1.716342e+01 1.542906e+01 -1.716342e+01 1.542906e+01 -258.446811
5.400000e-02 -2.296065e+01 1.094890e+01 -2.296065e+01 1.094890e+01 -259.836204
