x_by_lambda_0 z_by_lambda_0 rel_err_db rel_time
1.000000000000e-01 1.000000000000e-01 -3.160415094627e+02 2.767369086e+00
1.000000000000e-01 1.168951816499e-01 -3.062799392506e+02 2.531008299e+00
1.000000000000e-01 1.366448349295e-01 -3.204978580939e+02 2.248824861e+00
1.000000000000e-01 1.597312280060e-01 -3.125787054125e+02 2.098474609e+00
1.000000000000e-01 1.867181091292e-01 -3.122695737732e+02 1.996920741e+00
1.000000000000e-01 2.182644728397e-01 -3.164961161881e+02 1.894028790e+00
1.000000000000e-01 2.551406520031e-01 -3.174760367166e+02 1.712695844e+00
1.000000000000e-01 2.982471286217e-01 -3.211387920208e+02 1.669479913e+00
1.000000000000e-01 3.486365227678e-01 -3.199021857324e+02 1.650697479e+00
1.000000000000e-01 4.075392965872e-01 -3.126151048619e+02 1.695941678e+00
1.000000000000e-01 4.763938010401e-01 -3.159143224768e+02 1.706291357e+00
1.000000000000e-01 5.568813990945e-01 -3.160399233200e+02 1.660933485e+00
1.000000000000e-01 6.509675230458e-01 -3.117102271422e+02 1.538450198e+00
1.000000000000e-01 7.609496685460e-01 -3.068443502571e+02 1.525473625e+00
1.000000000000e-01 8.895134973108e-01 -3.009159806023e+02 2.165697665e+00
1.000000000000e-01 1.039798418481e+00 -2.988813438468e+02 2.240215971e+00
1.000000000000e-01 1.215474250076e+00 -2.731650243695e+02 2.050092956e+00
1.000000000000e-01 1.420830832534e+00 -3.000186880542e+02 2.059856811e+00
1.000000000000e-01 1.660882782628e+00 -2.924688932374e+02 2.086380650e+00
1.000000000000e-01 1.941491945744e+00 -2.977103271071e+02 2.002463951e+00
1.000000000000e-01 2.269510536695e+00 -2.934239868588e+02 2.026991334e+00
1.000000000000e-01 2.652948464432e+00 -2.980972807555e+02 2.688390374e+00
1.000000000000e-01 3.101168926575e+00 -2.927111322901e+02 2.679637162e+00
1.000000000000e-01 3.625117049989e+00 -2.911076474161e+02 2.614528113e+00
1.000000000000e-01 4.237587160604e+00 -2.879687795329e+02 2.612831165e+00
1.000000000000e-01 4.953535208959e+00 -2.929758672948e+02 2.713681269e+00
