f abs_E_z
1.000000e+05 2.242992e-01
1.011599e+05 2.216278e-01
1.023332e+05 2.189861e-01
1.035202e+05 2.163738e-01
1.047209e+05 2.137906e-01
1.059356e+05 2.112360e-01
1.071643e+05 2.087098e-01
1.084073e+05 2.062116e-01
1.096647e+05 2.037411e-01
1.109367e+05 2.012980e-01
1.122234e+05 1.988820e-01
1.135251e+05 1.964928e-01
1.148418e+05 1.941300e-01
1.161739e+05 1.917933e-01
1.175214e+05 1.894825e-01
1.188845e+05 1.871973e-01
1.202634e+05 1.849373e-01
1.216583e+05 1.827023e-01
1.230694e+05 1.804919e-01
1.244969e+05 1.783060e-01
1.259409e+05 1.761442e-01
1.274017e+05 1.740062e-01
1.288794e+05 1.718918e-01
1.303743e+05 1.698007e-01
1.318865e+05 1.677327e-01
1.334162e+05 1.656874e-01
1.349637e+05 1.636646e-01
1.365291e+05 1.616641e-01
1.381127e+05 1.596856e-01
1.397147e+05 1.577289e-01
1.413352e+05 1.557937e-01
1.429746e+05 1.538798e-01
1.446329e+05 1.519869e-01
1.463105e+05 1.501148e-01
1.480075e+05 1.482633e-01
1.497243e+05 1.464321e-01
1.514609e+05 1.446210e-01
1.532177e+05 1.428299e-01
1.549948e+05 1.410584e-01
1.567926e+05 1.393063e-01
1.586112e+05 1.375735e-01
1.604509e+05 1.358597e-01
1.623120e+05 1.341648e-01
1.641946e+05 1.324884e-01
1.660991e+05 1.308305e-01
1.680257e+05 1.291908e-01
1.699746e+05 1.275691e-01
1.719461e+05 1.259653e-01
1.739405e+05 1.243791e-01
1.759580e+05 1.228103e-01
1.779989e+05 1.212588e-01
1.800635e+05 1.197244e-01
1.821520e+05 1.182069e-01
1.842648e+05 1.167061e-01
1.864021e+05 1.152218e-01
1.885641e+05 1.137540e-01
1.907513e+05 1.123023e-01
1.929638e+05 1.108668e-01
1.952019e+05 1.094471e-01
1.974661e+05 1.080431e-01
1.997565e+05 1.066547e-01
2.020734e+05 1.052817e-01
2.044172e+05 1.039239e-01
2.067883e+05 1.025813e-01
2.091868e+05 1.012537e-01
2.116131e+05 9.994081e-02
2.140676e+05 9.864265e-02
2.165505e+05 9.735902e-02
2.190623e+05 9.608979e-02
2.216032e+05 9.483482e-02
2.241735e+05 9.359398e-02
2.267737e+05 9.236715e-02
2.294040e+05 9.115419e-02
2.320648e+05 8.995497e-02
2.347565e+05 8.876938e-02
2.374795e+05 8.759730e-02
2.402340e+05 8.643860e-02
2.430204e+05 8.529317e-02
2.458392e+05 8.416089e-02
2.486906e+05 8.304166e-02
2.515752e+05 8.193537e-02
2.544932e+05 8.084190e-02
2.574450e+05 7.976115e-02
2.604311e+05 7.869302e-02
2.634518e+05 7.763741e-02
2.665075e+05 7.659422e-02
2.695987e+05 7.556335e-02
2.727258e+05 7.454471e-02
2.758891e+05 7.353821e-02
2.790891e+05 7.254376e-02
2.823262e+05 7.156126e-02
2.856009e+05 7.059063e-02
2.889136e+05 6.963179e-02
2.922647e+05 6.868466e-02
2.956546e+05 6.774915e-02
2.990839e+05 6.682518e-02
3.025529e+05 6.591269e-02
3.060622e+05 6.501159e-02
3.096122e+05 6.412182e-02
3.132033e+05 6.324329e-02
3.168361e+05 6.237596e-02
3.205111e+05 6.151973e-02
3.242287e+05 6.067456e-02
3.279894e+05 5.984038e-02
3.317937e+05 5.901712e-02
3.356421e+05 5.820473e-02
3.395352e+05 5.740315e-02
3.434734e+05 5.661233e-02
3.474573e+05 5.583220e-02
3.514875e+05 5.506273e-02
3.555643e+05 5.430385e-02
3.596885e+05 5.355552e-02
3.638605e+05 5.281769e-02
3.680809e+05 5.209032e-02
3.723502e+05 5.137336e-02
3.766690e+05 5.066678e-02
3.810380e+05 4.997053e-02
3.854576e+05 4.928457e-02
3.899285e+05 4.860888e-02
3.944512e+05 4.794341e-02
3.990264e+05 4.728814e-02
4.036547e+05 4.664303e-02
4.083367e+05 4.600806e-02
4.130729e+05 4.538320e-02
4.178641e+05 4.476842e-02
4.227109e+05 4.416371e-02
4.276138e+05 4.356903e-02
4.325737e+05 4.298438e-02
4.375911e+05 4.240974e-02
4.426666e+05 4.184508e-02
4.478011e+05 4.129040e-02
4.529951e+05 4.074569e-02
4.582493e+05 4.021093e-02
4.635645e+05 3.968613e-02
4.689414e+05 3.917126e-02
4.743806e+05 3.866633e-02
4.798828e+05 3.817134e-02
4.854490e+05 3.768629e-02
4.910796e+05 3.721117e-02
4.967756e+05 3.674599e-02
5.025377e+05 3.629075e-02
5.083665e+05 3.584547e-02
5.142630e+05 3.541014e-02
5.202279e+05 3.498478e-02
5.262620e+05 3.456940e-02
5.323660e+05 3.416400e-02
5.385409e+05 3.376861e-02
5.447874e+05 3.338323e-02
5.511063e+05 3.300788e-02
5.574985e+05 3.264258e-02
5.639649e+05 3.228734e-02
5.705063e+05 3.194217e-02
5.771235e+05 3.160710e-02
5.838175e+05 3.128215e-02
5.905892e+05 3.096732e-02
5.974393e+05 3.066263e-02
6.043690e+05 3.036811e-02
6.113790e+05 3.008376e-02
6.184703e+05 2.980961e-02
6.256439e+05 2.954566e-02
6.329007e+05 2.929192e-02
6.402416e+05 2.904842e-02
6.476677e+05 2.881514e-02
6.551800e+05 2.859211e-02
6.627793e+05 2.837933e-02
6.704668e+05 2.817679e-02
6.782435e+05 2.798449e-02
6.861104e+05 2.780244e-02
6.940685e+05 2.763061e-02
7.021189e+05 2.746901e-02
7.102627e+05 2.731761e-02
7.185010e+05 2.717640e-02
7.268348e+05 2.704535e-02
7.352653e+05 2.692443e-02
7.437936e+05 2.681361e-02
7.524208e+05 2.671286e-02
7.611480e+05 2.662213e-02
7.699765e+05 2.654139e-02
7.789074e+05 2.647056e-02
7.879418e+05 2.640961e-02
7.970811e+05 2.635847e-02
8.063263e+05 2.631708e-02
8.156788e+05 2.628537e-02
8.251398e+05 2.626326e-02
8.347105e+05 2.625068e-02
8.443923e+05 2.624754e-02
8.541863e+05 2.625376e-02
8.640939e+05 2.626924e-02
8.741164e+05 2.629390e-02
8.842552e+05 2.632764e-02
8.945116e+05 2.637036e-02
9.048869e+05 2.642194e-02
9.153826e+05 2.648230e-02
9.260001e+05 2.655131e-02
9.367406e+05 2.662887e-02
9.476058e+05 2.671487e-02
9.585970e+05 2.680919e-02
9.697157e+05 2.691172e-02
9.809633e+05 2.702234e-02
9.923414e+05 2.714094e-02
