rho_by_lambda_0 abs_E_z
1.000000e-01 4.014752e+00
1.063765e-01 3.681613e+00
1.131596e-01 3.376065e+00
1.203752e-01 3.102665e+00
1.280509e-01 2.862113e+00
1.362160e-01 2.652456e+00
1.449018e-01 2.470143e+00
1.541415e-01 2.310896e+00
1.639703e-01 2.170371e+00
1.744258e-01 2.044586e+00
1.855480e-01 1.930157e+00
1.973795e-01 1.824373e+00
2.099654e-01 1.725169e+00
2.233538e-01 1.631042e+00
2.375959e-01 1.540944e+00
2.527462e-01 1.454177e+00
2.688625e-01 1.370300e+00
2.860065e-01 1.289050e+00
3.042436e-01 1.210288e+00
3.236437e-01 1.133949e+00
3.442808e-01 1.060013e+00
3.662338e-01 9.884827e-01
3.895866e-01 9.193732e-01
4.144285e-01 8.526994e-01
4.408545e-01 7.884743e-01
4.689655e-01 7.267071e-01
4.988691e-01 6.674047e-01
5.306794e-01 6.105729e-01
5.645181e-01 5.562207e-01
6.005145e-01 5.043632e-01
6.388062e-01 4.550264e-01
6.795396e-01 4.082525e-01
7.228703e-01 3.641044e-01
7.689641e-01 3.226724e-01
8.179969e-01 2.840795e-01
8.701564e-01 2.484874e-01
9.256418e-01 2.161003e-01
9.846652e-01 1.871624e-01
1.047452e+00 1.619430e-01
1.114243e+00 1.406928e-01
1.185292e+00 1.235578e-01
1.260872e+00 1.104496e-01
1.341272e+00 1.009213e-01
1.426798e+00 9.414510e-02
1.517777e+00 8.905276e-02
1.614558e+00 8.457173e-02
1.717510e+00 7.983178e-02
1.827027e+00 7.427610e-02
1.943527e+00 6.769399e-02
2.067456e+00 6.021537e-02
2.199287e+00 5.228958e-02
2.339524e+00 4.463917e-02
2.488703e+00 3.812950e-02
2.647395e+00 3.344367e-02
2.816206e+00 3.059454e-02
2.995781e+00 2.876918e-02
3.186807e+00 2.687989e-02
3.390013e+00 2.427246e-02
3.606177e+00 2.103807e-02
3.836124e+00 1.791339e-02
4.080734e+00 1.572729e-02
4.340941e+00 1.450643e-02
4.617741e+00 1.340815e-02
4.912190e+00 1.183983e-02
5.225415e+00 1.013989e-02
5.558613e+00 8.997354e-03
5.913057e+00 8.273644e-03
6.290102e+00 7.342056e-03
6.691190e+00 6.342130e-03
7.117853e+00 5.711688e-03
7.571721e+00 5.130158e-03
8.054531e+00 4.458013e-03
8.568127e+00 4.001779e-03
9.114473e+00 3.546384e-03
9.695656e+00 3.121563e-03
1.031390e+01 2.790270e-03
1.097156e+01 2.451127e-03
1.167116e+01 2.185193e-03
1.241537e+01 1.925306e-03
1.320704e+01 1.708661e-03
1.404918e+01 1.511914e-03
1.494502e+01 1.335689e-03
1.589799e+01 1.183484e-03
1.691173e+01 1.046969e-03
1.799010e+01 9.254709e-04
1.913724e+01 8.183802e-04
2.035752e+01 7.237827e-04
2.165561e+01 6.400484e-04
2.303648e+01 5.659285e-04
2.450540e+01 5.003499e-04
2.606798e+01 4.423489e-04
2.773020e+01 3.910527e-04
2.949841e+01 3.456776e-04
3.137938e+01 3.055516e-04
3.338028e+01 2.700787e-04
3.550877e+01 2.387136e-04
3.777298e+01 2.109863e-04
4.018156e+01 1.864746e-04
4.274374e+01 1.648071e-04
4.546928e+01 1.456546e-04
4.836863e+01 1.287258e-04
5.145285e+01 1.137629e-04
5.473373e+01 1.005380e-04
5.822382e+01 8.884967e-05
6.193645e+01 7.851946e-05
6.588582e+01 6.938977e-05
7.008702e+01 6.132122e-05
7.455611e+01 5.419057e-05
7.931017e+01 4.788888e-05
8.436737e+01 4.231983e-05
8.974704e+01 3.739829e-05
9.546975e+01 3.304900e-05
1.015574e+02 2.920546e-05
1.080332e+02 2.580887e-05
1.149219e+02 2.280727e-05
1.222498e+02 2.015473e-05
1.300451e+02 1.781068e-05
1.383374e+02 1.573924e-05
1.471585e+02 1.390870e-05
1.565420e+02 1.229107e-05
1.665239e+02 1.086156e-05
1.771422e+02 9.598319e-06
1.884377e+02 8.481996e-06
2.004534e+02 7.495507e-06
2.132353e+02 6.623751e-06
2.268322e+02 5.853386e-06
2.412961e+02 5.172619e-06
2.566823e+02 4.571029e-06
2.730496e+02 4.039407e-06
2.904606e+02 3.569615e-06
3.089818e+02 3.154462e-06
3.286840e+02 2.787594e-06
3.496425e+02 2.463394e-06
3.719374e+02 2.176899e-06
3.956539e+02 1.923725e-06
4.208827e+02 1.699996e-06
4.477202e+02 1.502287e-06
4.762690e+02 1.327572e-06
5.066383e+02 1.173177e-06
5.389440e+02 1.036738e-06
5.733097e+02 9.161675e-07
6.098667e+02 8.096191e-07
6.487547e+02 7.154623e-07
6.901225e+02 6.322559e-07
7.341280e+02 5.587263e-07
7.809396e+02 4.937482e-07
8.307361e+02 4.363270e-07
8.837079e+02 3.855838e-07
9.400574e+02 3.407419e-07
1.000000e+03 3.011150e-07
