z_by_lambda_0 V_re V_im I_re I_im Z_rel_re Z_rel_im
-2.000000 1.161044e+01 -1.907039e-01 -9.251484e-02 6.649571e-03 -3.318039e-01 -1.837700e-02
-1.992491 1.161173e+01 1.463113e+00 -9.325561e-02 -6.539875e-03 -3.318039e-01 -1.837700e-02
-1.984981 1.137750e+01 3.113427e+00 -9.211648e-02 -1.980542e-02 -3.318039e-01 -1.837700e-02
-1.977472 1.090877e+01 4.726708e+00 -8.909080e-02 -3.287919e-02 -3.318039e-01 -1.837700e-02
-1.969962 1.021135e+01 6.269645e+00 -8.421009e-02 -4.549294e-02 -3.318039e-01 -1.837700e-02
-1.962453 9.295766e+00 7.709827e+00 -7.754398e-02 -5.738355e-02 -3.318039e-01 -1.837700e-02
-1.954944 8.177129e+00 9.016415e+00 -6.919944e-02 -6.829837e-02 -3.318039e-01 -1.837700e-02
-1.947434 6.874918e+00 1.016079e+01 -5.931917e-02 -7.800056e-02 -3.318039e-01 -1.837700e-02
-1.939925 5.412645e+00 1.111718e+01 -4.807926e-02 -8.627412e-02 -3.318039e-01 -1.837700e-02
-1.932416 3.817435e+00 1.186319e+01 -3.568620e-02 -9.292861e-02 -3.318039e-01 -1.837700e-02
-1.924906 2.119544e+00 1.238038e+01 -2.237313e-02 -9.780344e-02 -3.318039e-01 -1.837700e-02
-1.917397 3.517851e-01 1.265463e+01 -8.395514e-03 -1.007716e-01 -3.318039e-01 -1.837700e-02
-1.909887 -1.451088e+00 1.267652e+01 5.973626e-03 -1.017426e-01 -3.318039e-01 -1.837700e-02
-1.902378 -3.253062e+00 1.244163e+01 2.044902e-02 -1.006652e-01 -3.318039e-01 -1.837700e-02
-1.894869 -5.017570e+00 1.195065e+01 3.473873e-02 -9.752877e-02 -3.318039e-01 -1.837700e-02
-1.887359 -6.708228e+00 1.120949e+01 4.854996e-02 -9.236444e-02 -3.318039e-01 -1.837700e-02
-1.879850 -8.289573e+00 1.022922e+01 6.159498e-02 -8.524483e-02 -3.318039e-01 -1.837700e-02
-1.872340 -9.727798e+00 9.025944e+00 7.359706e-02 -7.628340e-02 -3.318039e-01 -1.837700e-02
-1.864831 -1.099146e+01 7.620537e+00 8.429623e-02 -6.563277e-02 -3.318039e-01 -1.837700e-02
-1.857322 -1.205218e+01 6.038309e+00 9.345486e-02 -5.348226e-02 -3.318039e-01 -1.837700e-02
-1.849812 -1.288521e+01 4.308556e+00 1.008628e-01 -4.005459e-02 -3.318039e-01 -1.837700e-02
-1.842303 -1.347006e+01 2.464029e+00 1.063420e-01 -2.560191e-02 -3.318039e-01 -1.837700e-02
-1.834793 -1.379093e+01 5.403267e-01 1.097509e-01 -1.040116e-02 -3.318039e-01 -1.837700e-02
-1.827284 -1.383715e+01 -1.424783e+00 1.109875e-01 5.251154e-03 -3.318039e-01 -1.837700e-02
-1.819775 -1.360341e+01 -3.392095e+00 1.099924e-01 2.104469e-02 -3.318039e-01 -1.837700e-02
-1.812265 -1.309005e+01 -5.321737e+00 1.067504e-01 3.666132e-02 -3.318039e-01 -1.837700e-02
-1.804756 -1.230303e+01 -7.173974e+00 1.012917e-01 5.178147e-02 -3.318039e-01 -1.837700e-02
-1.797247 -1.125400e+01 -8.910007e+00 9.369201e-02 6.609058e-02 -3.318039e-01 -1.837700e-02
-1.789737 -9.960086e+00 -1.049278e+01 8.407156e-02 7.928557e-02 -3.318039e-01 -1.837700e-02
-1.782228 -8.443659e+00 -1.188777e+01 7.259351e-02 9.108114e-02 -3.318039e-01 -1.837700e-02
-1.774718 -6.731958e+00 -1.306371e+01 5.946127e-02 1.012159e-01 -3.318039e-01 -1.837700e-02
-1.767209 -4.856612e+00 -1.399326e+01 4.491506e-02 1.094580e-01 -3.318039e-01 -1.837700e-02
-1.759700 -2.853070e+00 -1.465369e+01 2.922754e-02 1.156102e-01 -3.318039e-01 -1.837700e-02
-1.752190 -7.599457e-01 -1.502733e+01 1.269888e-02 1.195147e-01 -3.318039e-01 -1.837700e-02
-1.744681 1.381723e+00 -1.510206e+01 -4.348985e-03 1.210568e-01 -3.318039e-01 -1.837700e-02
-1.737171 3.529261e+00 -1.487164e+01 -2.157845e-02 1.201677e-01 -3.318039e-01 -1.837700e-02
-1.729662 5.639201e+00 -1.433591e+01 -3.864292e-02 1.168270e-01 -3.318039e-01 -1.837700e-02
-1.722153 7.668148e+00 -1.350091e+01 -5.519362e-02 1.110637e-01 -3.318039e-01 -1.837700e-02
-1.714643 9.573665e+00 -1.237884e+01 -7.088672e-02 1.029563e-01 -3.318039e-01 -1.837700e-02
-1.707134 1.131515e+01 -1.098791e+01 -8.539031e-02 9.263223e-02 -3.318039e-01 -1.837700e-02
-1.699625 1.285467e+01 -9.352085e+00 -9.839137e-02 8.026575e-02 -3.318039e-01 -1.837700e-02
-1.692115 1.415781e+01 -7.500667e+00 -1.096024e-01 6.607540e-02 -3.318039e-01 -1.837700e-02
-1.684606 1.519440e+01 -5.467801e+00 -1.187677e-01 5.032017e-02 -3.318039e-01 -1.837700e-02
-1.677096 1.593919e+01 -3.291849e+00 -1.256689e-01 3.329485e-02 -3.318039e-01 -1.837700e-02
-1.669587 1.637245e+01 -1.014684e+00 -1.301302e-01 1.532471e-02 -3.318039e-01 -1.837700e-02
-1.662078 1.648046e+01 1.319105e+00 -1.320225e-01 -3.240704e-03 -3.318039e-01 -1.837700e-02
-1.654568 1.625588e+01 3.663074e+00 -1.312668e-01 -2.203423e-02 -3.318039e-01 -1.837700e-02
-1.647059 1.569802e+01 5.969840e+00 -1.278365e-01 -4.067825e-02 -3.318039e-01 -1.837700e-02
-1.639549 1.481289e+01 8.192021e+00 -1.217588e-01 -5.879224e-02 -3.318039e-01 -1.837700e-02
-1.632040 1.361330e+01 1.028320e+01 -1.131152e-01 -7.600036e-02 -3.318039e-01 -1.837700e-02
-1.624531 1.211857e+01 1.219890e+01 -1.020402e-01 -9.193922e-02 -3.318039e-01 -1.837700e-02
-1.617021 1.035438e+01 1.389747e+01 -8.872016e-02 -1.062654e-01 -3.318039e-01 -1.837700e-02
-1.609512 8.352226e+00 1.534102e+01 -7.338966e-02 -1.186629e-01 -3.318039e-01 -1.837700e-02
-1.602003 6.148967e+00 1.649623e+01 -5.632786e-02 -1.288495e-01 -3.318039e-01 -1.837700e-02
-1.594493 3.786109e+00 1.733512e+01 -3.785344e-02 -1.365838e-01 -3.318039e-01 -1.837700e-02
-1.586984 1.309054e+00 1.783565e+01 -1.831879e-02 -1.416700e-01 -3.318039e-01 -1.837700e-02
-1.579474 -1.233760e+00 1.798232e+01 1.896624e-03 -1.439630e-01 -3.318039e-01 -1.837700e-02
-1.571965 -3.791794e+00 1.776656e+01 2.239353e-02 -1.433721e-01 -3.318039e-01 -1.837700e-02
-1.564456 -6.313401e+00 1.718699e+01 4.276061e-02 -1.398636e-01 -3.318039e-01 -1.837700e-02
-1.556946 -8.746855e+00 1.624963e+01 6.258268e-02 -1.334626e-01 -3.318039e-01 -1.837700e-02
-1.549437 -1.104140e+01 1.496782e+01 8.144903e-02 -1.242530e-01 -3.318039e-01 -1.837700e-02
-1.541927 -1.314830e+01 1.336211e+01 9.896185e-02 -1.123774e-01 -3.318039e-01 -1.837700e-02
-1.534418 -1.502183e+01 1.145994e+01 1.147445e-01 -9.803422e-02 -3.318039e-01 -1.837700e-02
-1.526909 -1.662032e+01 9.295207e+00 1.284494e-01 -8.147550e-02 -3.318039e-01 -1.837700e-02
-1.519399 -1.790697e+01 6.907667e+00 1.397657e-01 -6.300202e-02 -3.318039e-01 -1.837700e-02
-1.511890 -1.885076e+01 4.342221e+00 1.484261e-01 -4.295821e-02 -3.318039e-01 -1.837700e-02
-1.504380 -1.942710e+01 1.648092e+00 1.542128e-01 -2.172577e-02 -3.318039e-01 -1.837700e-02
-1.496871 -1.961851e+01 -1.122109e+00 1.569631e-01 2.834086e-04 -3.318039e-01 -1.837700e-02
-1.489362 -1.941500e+01 -3.913393e+00 1.565729e-01 2.263519e-02 -3.318039e-01 -1.837700e-02
-1.481852 -1.881444e+01 -6.669477e+00 1.530006e-01 4.488161e-02 -3.318039e-01 -1.837700e-02
-1.474343 -1.782275e+01 -9.333896e+00 1.462683e-01 6.656973e-02 -3.318039e-01 -1.837700e-02
-1.466834 -1.645383e+01 -1.185115e+01 1.364624e-01 8.725080e-02 -3.318039e-01 -1.837700e-02
-1.459324 -1.472949e+01 -1.416786e+01 1.237333e-01 1.064894e-01 -3.318039e-01 -1.837700e-02
-1.451815 -1.267909e+01 -1.623385e+01 1.082929e-01 1.238724e-01 -3.318039e-01 -1.837700e-02
-1.444305 -1.033904e+01 -1.800325e+01 9.041147e-02 1.390179e-01 -3.318039e-01 -1.837700e-02
-1.436796 -7.752238e+00 -1.943547e+01 7.041307e-02 1.515832e-01 -3.318039e-01 -1.837700e-02
-1.429287 -4.967244e+00 -2.049612e+01 4.866987e-02 1.612726e-01 -3.318039e-01 -1.837700e-02
-1.421777 -2.037414e+00 -2.115780e+01 2.559530e-02 1.678441e-01 -3.318039e-01 -1.837700e-02
-1.414268 9.801161e-01 -2.140080e+01 1.636332e-03 1.711149e-01 -3.318039e-01 -1.837700e-02
-1.406758 4.025524e+00 -2.121353e+01 -2.273504e-02 1.709666e-01 -3.318039e-01 -1.837700e-02
-1.399249 7.037479e+00 -2.059300e+01 -4.703098e-02 1.673481e-01 -3.318039e-01 -1.837700e-02
